"usuario","timestamp","cpu","ram","disco","uptime"
24,"2025-10-01 12:07:46.364614",1.8,64.3,3.7,220913.364866
24,"2025-10-01 12:07:56.381514",3.3,64.7,3.7,220923.381756
24,"2025-10-01 12:08:06.398808",3.3,64.2,3.7,220933.399165
24,"2025-10-01 12:08:16.417958",4.8,65.1,3.7,220943.418199
24,"2025-10-01 12:08:26.434661",18.5,68.2,3.7,220953.436128
24,"2025-10-01 12:08:36.465927",23.6,70.8,3.7,220963.466175
24,"2025-10-01 12:08:46.582949",23.4,75.6,3.7,220973.583197
24,"2025-10-01 12:08:57.705279",18.5,76.1,3.7,220984.705512
24,"2025-10-01 12:09:07.730729",19.8,76.2,3.7,220994.73105
24,"2025-10-01 12:09:18.368864",13.6,77,3.7,221005.369112
24,"2025-10-01 12:09:28.386969",10.6,74.3,3.8,221015.38734
24,"2025-10-01 12:09:38.415464",2.8,72.9,3.8,221025.415913
24,"2025-10-01 12:09:48.438201",7.1,73.3,3.8,221035.438442
24,"2025-10-01 12:09:58.455006",5.1,71.6,3.8,221045.455257
24,"2025-10-01 12:10:08.473495",6.1,72.5,3.7,221055.473761
24,"2025-10-01 12:10:18.492276",8.9,70.7,3.8,221065.492514
24,"2025-10-01 12:10:28.510268",5.3,71.1,3.8,221075.510511
24,"2025-10-01 12:10:38.529913",11.7,71.6,3.8,221085.530196
24,"2025-10-01 12:10:48.547369",13.9,72.5,3.8,221095.547677
24,"2025-10-01 12:10:58.566434",20.2,73.6,3.8,221105.566725
24,"2025-10-01 12:11:08.586565",12.8,74,3.8,221115.586805
24,"2025-10-01 12:11:18.604876",8.7,74.1,3.8,221125.605129
24,"2025-10-01 12:11:28.624090",15.5,70.8,3.8,221135.624366
24,"2025-10-01 12:11:38.644452",16.2,77.9,3.8,221145.64497
24,"2025-10-01 12:11:48.670804",8.2,78.5,3.8,221155.671082
24,"2025-10-01 12:11:58.690306",8.2,79,3.8,221165.690559
24,"2025-10-01 12:12:08.709417",17.4,77.7,3.8,221175.709729
24,"2025-10-01 12:12:18.734515",8,79.1,3.8,221185.734754
24,"2025-10-01 12:12:28.754346",13.2,59.4,3.8,221195.754586
24,"2025-10-01 12:12:38.771996",1.9,56.8,3.8,221205.772254
24,"2025-10-01 12:12:48.789314",1.6,57,3.8,221215.789557
24,"2025-10-01 12:12:58.807739",5.7,55.7,3.8,221225.808158
24,"2025-10-01 12:13:08.836120",26.1,56.1,3.8,221235.836592
24,"2025-10-01 12:13:19.124805",15.1,53,3.8,221246.125082
24,"2025-10-01 12:13:29.143285",6.1,54.3,3.8,221256.143539
24,"2025-10-01 12:13:39.161866",3.6,53.4,3.8,221266.1621
24,"2025-10-01 12:13:49.179678",6.3,53.8,3.8,221276.180116
333,"2025-10-01 11:05:53.148808",5.4,84.1,74.5,436456.999982
333,"2025-10-01 11:06:04.190934",9.9,84.1,74.5,436468.046478
333,"2025-10-01 11:06:14.855501",2.5,83.8,74.5,436478.710008
333,"2025-10-01 11:06:25.461575",2.7,83.9,74.5,436489.316034
333,"2025-10-01 11:06:36.063158",2.6,83.9,74.5,436499.918531
333,"2025-10-01 11:06:46.688645",3,83.6,74.5,436510.54247
333,"2025-10-01 11:06:57.302658",2.5,83.7,74.5,436521.157244
333,"2025-10-01 11:07:07.909032",2.7,83.6,74.5,436531.761593
